id;pais;region;departamento;municipio;subregion;codigo_dane;latitud;longitud;año;mes;trimestre;semestre;fecha;tipo_recaudo;categoria;subcategoria;sector;codigo_sector;entidad;codigo_entidad;fuente;codigo_fuente;subfuente;rubro;subrubro;programa;subprograma;proyecto;valor_recaudo;presupuesto_inicial;presupuesto_modificado;meta_recaudo;recaudo_acumulado;ejecucion_%;variacion_anual_%;variacion_mensual_%;estado;nivel;zona;gasto_programa;gasto_subprograma;gasto_proyecto;gasto_proyecto.1;impuesto_territorial_nivel;impuesto_territorial_grupo;impuesto_territorial
26;Colombia;Andina;Antioquia;Caicedo;Subreg-5;5125;6.405.607;-7.598.293;2022;8;3;2;26/08/2022;Contribución;Tributario;Subcat-2;Infraestructura;985;Gobernación;7225;General;43;Sub-5;Rubro-2;Subrubro-5;Programa-1;Subprograma-4;Proyecto-8;4543722.68;4631175.06;4569783.49;4383179.08;8107140.89;102.3;-10.0;2.11;Recaudado;Territorial;Rural;Programa-1;Subprograma-4;Proyecto-8;Proyecto-8;Departamental;Consumo;Cigarrillos y Tabaco
27;Colombia;Andina;Antioquia;Caldas;Subreg-5;5129;6.091.077;-75.633.673;2023;2;1;1;6/02/2023;Impuesto;No Tributario;Subcat-2;Infraestructura;664;Entidad Nacional;2451;General;52;Sub-5;Rubro-4;Subrubro-2;Programa-1;Subprograma-2;Proyecto-10;2486088.46;3482677.39;3309780.49;3740854.96;4760253.22;73.28;-8.54;-7.64;Obligado;Territorial;Urbana;Programa-1;Subprograma-2;Proyecto-10;Proyecto-10;Municipal;Actividad económica;Avisos y Tableros
28;Colombia;Andina;Antioquia;Campamento;Subreg-1;5134;6.979.771;-75.298.091;2024;1;1;1;6/01/2024;Contribución;Tributario;Subcat-1;Seguridad;567;Gobernación;7949;General;45;Sub-4;Rubro-4;Subrubro-4;Programa-3;Subprograma-2;Proyecto-3;1307824.74;1427055.46;1579608.17;1690462.91;3743283.24;84.68;14.25;6.47;Programado;Territorial;Rural;Programa-3;Subprograma-2;Proyecto-3;Proyecto-3;Municipal;Servicios urbanos;Alumbrado Público
29;Colombia;Andina;Antioquia;Cañasgordas;Subreg-1;5138;6.753.859;-76.028.228;2024;1;1;1;14/01/2024;Contribución;Tributario;Subcat-5;Infraestructura;715;Gobernación;7607;General;62;Sub-5;Rubro-4;Subrubro-3;Programa-4;Subprograma-3;Proyecto-5;2198449.16;2893958.97;2857164.17;2979474.12;5515377.31;85.81;3.71;-6.27;Recaudado;Territorial;Urbana;Programa-4;Subprograma-3;Proyecto-5;Proyecto-5;Departamental;Registro;Registro y Anotación
30;Colombia;Andina;Antioquia;Caracolí;Subreg-1;5142;6.409.829;-74.757.421;2022;11;4;2;3/11/2022;Tasa;No Tributario;Subcat-4;Seguridad;888;Alcaldía;7093;General;70;Sub-4;Rubro-2;Subrubro-1;Programa-3;Subprograma-4;Proyecto-8;10045370.41;8398734.95;7850210.21;8720749.36;36821002.63;110.13;11.38;2.92;Comprometido;Territorial;Rural;Programa-3;Subprograma-4;Proyecto-8;Proyecto-8;No aplica;No tributario;No aplica - ingreso no tributario
31;Colombia;Andina;Antioquia;Caramanta;Subreg-1;5145;554.853;-75.643.868;2024;10;4;2;20/10/2024;Contribución;No Tributario;Subcat-2;Salud;402;Alcaldía;1606;General;16;Sub-2;Rubro-3;Subrubro-5;Programa-2;Subprograma-3;Proyecto-1;5200564.12;5288544.29;5711511.51;6364868.65;16781288.64;88.14;-4.01;-5.62;Comprometido;Territorial;Urbana;Programa-2;Subprograma-3;Proyecto-1;Proyecto-1;No aplica;No tributario;No aplica - ingreso no tributario
32;Colombia;Andina;Antioquia;Carepa;Subreg-3;5147;7.755.148;-76.652.652;2023;6;2;1;5/06/2023;Impuesto;Tributario;Subcat-5;Seguridad;638;Alcaldía;5874;General;17;Sub-2;Rubro-2;Subrubro-2;Programa-1;Subprograma-4;Proyecto-4;2198345.93;2860559.52;2942454.86;2917732.69;7367771.84;81.37;-3.09;8.13;Programado;Territorial;Urbana;Programa-1;Subprograma-4;Proyecto-4;Proyecto-4;Departamental;Vehículos;Impuesto sobre Vehículos Automotores
33;Colombia;Andina;Antioquia;El Carmen De Viboral;Subreg-3;5148;6.082.885;-75.333.901;2024;11;4;2;24/11/2024;Contribución;Tributario;Subcat-5;Seguridad;418;Gobernación;5269;General;41;Sub-3;Rubro-4;Subrubro-2;Programa-3;Subprograma-2;Proyecto-1;4328759.16;3626889.64;3943887.69;4386155.74;12719410.1;97.63;6.99;-3.1;Recaudado;Territorial;Urbana;Programa-3;Subprograma-2;Proyecto-1;Proyecto-1;Departamental;Registro;Registro y Anotación
34;Colombia;Andina;Antioquia;Carolina;Subreg-2;5150;6.725.995;-75.283.192;2022;9;3;2;1/09/2022;Tasa;No Tributario;Subcat-1;Infraestructura;415;Entidad Nacional;6065;General;80;Sub-4;Rubro-5;Subrubro-5;Programa-3;Subprograma-2;Proyecto-6;6114373.54;6558385.03;7878271.0;7350629.38;21152260.67;95.72;-9.47;7.91;Programado;Territorial;Urbana;Programa-3;Subprograma-2;Proyecto-6;Proyecto-6;No aplica;No tributario;No aplica - ingreso no tributario
35;Colombia;Andina;Antioquia;Caucasia;Subreg-5;5154;7.977.278;-75.197.996;2024;2;1;1;26/02/2024;Impuesto;No Tributario;Subcat-1;Educación;234;Gobernación;7500;General;47;Sub-4;Rubro-4;Subrubro-3;Programa-1;Subprograma-1;Proyecto-2;9787168.13;7407073.41;8205472.23;8990375.1;21376497.01;104.76;5.7;-6.38;Programado;Territorial;Urbana;Programa-1;Subprograma-1;Proyecto-2;Proyecto-2;Municipal;Propiedad;Impuesto Predial Unificado
36;Colombia;Andina;Antioquia;Chigorodó;Subreg-1;5172;7.666.147;-76.681.531;2024;8;3;2;5/08/2024;Contribución;Tributario;Subcat-1;Infraestructura;175;Alcaldía;5147;General;62;Sub-4;Rubro-4;Subrubro-3;Programa-1;Subprograma-2;Proyecto-9;5641850.0;5519604.89;6073501.0;6173691.22;20637665.78;91.13;2.76;2.19;Recaudado;Territorial;Rural;Programa-1;Subprograma-2;Proyecto-9;Proyecto-9;Municipal;Urbanismo y construcción;Delineación Urbana
37;Colombia;Andina;Antioquia;Cisneros;Subreg-1;5190;6.537.829;-75.087.047;2022;12;4;2;23/12/2022;Tasa;No Tributario;Subcat-2;Salud;236;Entidad Nacional;6466;General;70;Sub-1;Rubro-4;Subrubro-3;Programa-4;Subprograma-5;Proyecto-2;1656860.97;1936828.53;1802602.74;1918809.0;5488061.69;85.93;-1.99;7.27;Obligado;Territorial;Rural;Programa-4;Subprograma-5;Proyecto-2;Proyecto-2;No aplica;No tributario;No aplica - ingreso no tributario
38;Colombia;Andina;Antioquia;Cocorná;Subreg-2;5197;6.058.295;-75.185.483;2025;10;4;2;18/10/2025;Contribución;Tributario;Subcat-2;Seguridad;541;Gobernación;9345;General;24;Sub-4;Rubro-1;Subrubro-2;Programa-2;Subprograma-5;Proyecto-1;2788127.39;3913536.14;3952882.81;3713349.62;7478708.12;72.39;-0.5;4.4;Recaudado;Territorial;Urbana;Programa-2;Subprograma-5;Proyecto-1;Proyecto-1;Municipal;Propiedad;Impuesto Predial Unificado
39;Colombia;Andina;Antioquia;Concepción;Subreg-5;5206;6.394.348;-75.257.587;2022;7;3;2;26/07/2022;Impuesto;Tributario;Subcat-4;Salud;383;Alcaldía;9189;General;97;Sub-3;Rubro-4;Subrubro-1;Programa-3;Subprograma-5;Proyecto-5;8732673.15;7242411.95;7733297.91;7687593.1;35526484.31;114.33;-8.45;6.46;Obligado;Territorial;Urbana;Programa-3;Subprograma-5;Proyecto-5;Proyecto-5;Municipal;Servicios urbanos;Alumbrado Público
40;Colombia;Andina;Antioquia;Concordia;Subreg-1;5209;6.045.738;-75.908.448;2025;8;3;2;4/08/2025;Impuesto;No Tributario;Subcat-5;Salud;761;Alcaldía;3333;General;66;Sub-5;Rubro-4;Subrubro-3;Programa-4;Subprograma-5;Proyecto-8;5231125.24;5706064.0;6505676.02;5875117.74;12018350.01;87.72;1.76;-0.48;Recaudado;Territorial;Rural;Programa-4;Subprograma-5;Proyecto-8;Proyecto-8;Municipal;Movilidad;Semaforización y Tránsito
41;Colombia;Andina;Antioquia;Copacabana;Subreg-5;5212;6.348.557;-75.509.384;2022;4;2;1;14/04/2022;Tasa;Tributario;Subcat-2;Seguridad;442;Gobernación;7779;General;74;Sub-2;Rubro-1;Subrubro-5;Programa-1;Subprograma-4;Proyecto-1;7728163.54;7250352.28;6805948.78;7821795.61;29054964.11;108.96;-8.81;8.98;Recaudado;Territorial;Rural;Programa-1;Subprograma-4;Proyecto-1;Proyecto-1;Municipal;Movilidad;Semaforización y Tránsito
42;Colombia;Andina;Antioquia;Dabeiba;Subreg-4;5234;6.998.112;-76.261.614;2022;8;3;2;4/08/2022;Contribución;Tributario;Subcat-4;Seguridad;466;Gobernación;3228;General;62;Sub-3;Rubro-2;Subrubro-3;Programa-3;Subprograma-5;Proyecto-8;1284893.81;1723525.82;2092294.31;1898233.75;4622114.36;77.04;-6.05;7.48;Comprometido;Territorial;Rural;Programa-3;Subprograma-5;Proyecto-8;Proyecto-8;Municipal;Propiedad;Impuesto Predial Unificado
43;Colombia;Andina;Antioquia;Donmatías;Subreg-1;5237;6.485.603;-7.539.263;2023;8;3;2;25/08/2023;Contribución;No Tributario;Subcat-2;Seguridad;503;Entidad Nacional;7500;General;27;Sub-1;Rubro-1;Subrubro-2;Programa-1;Subprograma-3;Proyecto-7;950125.8;1043438.67;957960.46;1007277.5;3604210.89;105.07;-10.28;5.62;Obligado;Territorial;Rural;Programa-1;Subprograma-3;Proyecto-7;Proyecto-7;No aplica;No tributario;No aplica - ingreso no tributario
44;Colombia;Andina;Antioquia;Ebéjico;Subreg-4;5240;6.325.615;-75.766.413;2025;12;4;2;4/12/2025;Contribución;No Tributario;Subcat-3;Educación;896;Gobernación;7742;General;78;Sub-3;Rubro-4;Subrubro-2;Programa-1;Subprograma-4;Proyecto-3;4698265.2;6584966.27;7857794.66;7150890.36;13447532.86;75.09;10.36;2.71;Recaudado;Territorial;Urbana;Programa-1;Subprograma-4;Proyecto-3;Proyecto-3;No aplica;No tributario;No aplica - ingreso no tributario
45;Colombia;Andina;Antioquia;El Bagre;Subreg-1;5250;75.975;-74.799.097;2022;11;4;2;13/11/2022;Tasa;No Tributario;Subcat-3;Seguridad;109;Alcaldía;9988;General;18;Sub-1;Rubro-4;Subrubro-3;Programa-3;Subprograma-4;Proyecto-1;6768731.04;6876968.74;6653910.97;6438921.03;21329406.86;100.5;-10.36;2.48;Comprometido;Territorial;Urbana;Programa-3;Subprograma-4;Proyecto-1;Proyecto-1;No aplica;No tributario;No aplica - ingreso no tributario
46;Colombia;Andina;Antioquia;Entrerríos;Subreg-5;5264;6.566.273;-75.517.685;2022;1;1;1;6/01/2022;Tasa;No Tributario;Subcat-2;Infraestructura;617;Alcaldía;2554;General;10;Sub-3;Rubro-1;Subrubro-2;Programa-1;Subprograma-4;Proyecto-10;4592692.62;6676626.28;6413532.13;5919242.82;12575314.75;74.18;11.52;2.82;Programado;Territorial;Urbana;Programa-1;Subprograma-4;Proyecto-10;Proyecto-10;No aplica;No tributario;No aplica - ingreso no tributario
47;Colombia;Andina;Antioquia;Envigado;Subreg-1;5266;6.166.695;-75.582.192;2025;7;3;2;13/07/2025;Impuesto;No Tributario;Subcat-2;Infraestructura;948;Entidad Nacional;2563;General;67;Sub-2;Rubro-2;Subrubro-5;Programa-2;Subprograma-4;Proyecto-4;8816133.11;8568195.63;8615062.98;8998470.37;35613694.57;99.99;-7.55;0.64;Recaudado;Territorial;Rural;Programa-2;Subprograma-4;Proyecto-4;Proyecto-4;Municipal;Propiedad;Impuesto Predial Unificado
48;Colombia;Andina;Antioquia;Fredonia;Subreg-3;5282;5.928.039;-75.675.072;2024;5;2;1;25/05/2024;Contribución;Tributario;Subcat-5;Seguridad;643;Gobernación;2554;General;87;Sub-3;Rubro-1;Subrubro-1;Programa-1;Subprograma-3;Proyecto-6;1346445.32;1953740.21;1850061.3;1793669.37;4240853.57;80.24;7.04;-1.0;Programado;Territorial;Rural;Programa-1;Subprograma-3;Proyecto-6;Proyecto-6;Departamental;Transporte y combustibles;Sobretasa a la Gasolina Departamental
49;Colombia;Andina;Antioquia;Frontino;Subreg-2;5284;6.776.066;-76.130.765;2022;5;2;1;23/05/2022;Contribución;No Tributario;Subcat-1;Infraestructura;769;Entidad Nacional;1532;General;53;Sub-1;Rubro-3;Subrubro-3;Programa-1;Subprograma-3;Proyecto-5;4257152.76;5706449.99;5769017.33;5244123.04;8978764.06;85.92;5.17;1.62;Programado;Territorial;Urbana;Programa-1;Subprograma-3;Proyecto-5;Proyecto-5;No aplica;No tributario;No aplica - ingreso no tributario
50;Colombia;Andina;Antioquia;Giraldo;Subreg-4;5306;6.680.808;-75.952.158;2024;9;3;2;15/09/2024;Impuesto;Tributario;Subcat-1;Infraestructura;827;Alcaldía;2627;General;85;Sub-4;Rubro-3;Subrubro-4;Programa-4;Subprograma-3;Proyecto-1;5968472.31;6219464.45;6285856.94;6894692.82;19040821.5;92.46;-1.18;0.72;Obligado;Territorial;Rural;Programa-4;Subprograma-3;Proyecto-1;Proyecto-1;Municipal;Actividad económica;Industria y Comercio (ICA)
51;Colombia;Andina;Antioquia;Girardota;Subreg-5;5308;6.379.472;-75.444.238;2025;9;3;2;16/09/2025;Contribución;Tributario;Subcat-1;Infraestructura;211;Alcaldía;9106;General;22;Sub-4;Rubro-3;Subrubro-5;Programa-2;Subprograma-1;Proyecto-8;8892308.2;8368457.58;9006732.59;9277554.04;33443369.82;104.99;2.82;-6.03;Obligado;Territorial;Rural;Programa-2;Subprograma-1;Proyecto-8;Proyecto-8;Municipal;Propiedad;Impuesto Predial Unificado
52;Colombia;Andina;Antioquia;Gómez Plata;Subreg-5;5310;6.683.269;-75.220.018;2022;1;1;1;24/01/2022;Impuesto;Tributario;Subcat-4;Salud;799;Alcaldía;4281;General;21;Sub-3;Rubro-5;Subrubro-4;Programa-3;Subprograma-2;Proyecto-2;953409.67;1444543.34;1441963.38;1418217.87;3341958.23;73.65;-11.56;6.06;Obligado;Territorial;Rural;Programa-3;Subprograma-2;Proyecto-2;Proyecto-2;Municipal;Transporte y combustibles;Sobretasa a la Gasolina Municipal
